influencer,location,latitude,longitude,datetime
valentinaferragni,Grand Hotel Tremezzo - Lake Como,45.984916,9.228429,2017-10-06T08:17:08.000Z
valentinaferragni,Lake Como,45.9917589,9.26488103500571,2017-10-06T12:28:11.000Z
valentinaferragni,Lake Como,45.9917589,9.26488103500571,2017-10-06T16:15:42.000Z
valentinaferragni,"Verona, Italy",45.4384958,10.9924122,2017-10-07T10:01:54.000Z
valentinaferragni,Lake Como,45.9917589,9.26488103500571,2017-10-08T10:50:15.000Z
valentinaferragni,"Verona, Italy",45.4384958,10.9924122,2017-10-07T17:11:42.000Z
valentinaferragni,"Treviso, Italy",45.6658505,12.2455414,2017-10-08T15:58:36.000Z
valentinaferragni,Kiruna in Swedish Lapland,67.856434,20.225737,2017-10-08T19:14:52.000Z
valentinaferragni,Kiruna in Swedish Lapland,67.856434,20.225737,2017-10-09T16:39:12.000Z
valentinaferragni,Università Cattolica del Sacro Cuore,45.533625,9.181019,2017-10-09T19:35:10.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-10-10T16:37:03.000Z
